SRA Accession,RECEIPT,TRAVEL,SNP,lat ,lon,Discrepancy Lat/Lon,Country,Region,Sub-region,RECEIPT_datetime,Cluster
SRR6897793,2017-09-27,Egypt,1.1.2.2073.389.2854.8518,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2017-09-27,6
SRR6900724,2017-09-29,Indonesia,1.1.2.28.354.3855.8562,-0.789275,113.921327,0.0,Indonesia,Asia,South-eastern Asia,2017-09-29,6
SRR6920009,2017-10-02,Turkey,1.1.2.1712.58.370.8549,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2017-10-02,6
SRR6901064,2017-10-02,Spain,1.1.2.131.456.1040.5082,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2017-10-02,6
SRR6900753,2017-10-02,,1.1.2.80.833.1514.8567,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-02,6
SRR6918318,2017-10-02,,1.1.2.80.833.1514.8571,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-02,6
SRR6918583,2017-10-04,,1.1.2.61.61.61.8590,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-04,6
SRR6919810,2017-10-04,,1.1.2.12.12.4034.8538,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-04,6
SRR7997138,2015-10-30,Lebanon,1.1.2.274.274.604.3960,33.854721,35.862285,0.0,Lebanon,Asia,Western Asia,2015-10-30,6
SRR7163534,2015-11-11,,1.1.2.28.149.149.3161,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-11,6
SRR5220867,2015-11-09,Singapore,1.1.2.28.2010.2417.3984,1.352083,103.819836,0.0,Singapore,Asia,South-eastern Asia,2015-11-09,6
SRR5220918,2015-11-10,Portugal,1.1.2.1326.373.2419.3997,39.399872,-8.224454,0.0,Portugal,Europe,Southern Europe,2015-11-10,6
SRR5216569,2015-11-10,Poland,1.1.2.28.195.358.4034,51.919438,19.145136,0.0,Poland,Europe,Eastern Europe,2015-11-10,6
SRR7297974,2015-11-10,,1.1.2.63.63.755.4039,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-10,6
SRR8711620,2015-11-10,,1.1.2.28.2023.2441.4043,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-10,6
SRR8704851,2015-11-10,Turkey,1.1.2.1326.1904.2274.3659,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2015-11-10,6
SRR8704702,2015-11-10,United Arab Emirates,1.1.2.1326.544.571.4041,23.424076,53.847818,0.0,United Arab Emirates,Asia,Western Asia,2015-11-10,6
SRR3284689,2015-11-11,Spain,1.1.2.1065.1746.2051.3585,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2015-11-11,6
SRR7349208,2015-10-30,,1.1.2.1326.2001.2402.3949,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-30,6
SRR6900055,2017-10-02,,1.1.2.28.149.149.8576,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-02,6
SRR8704849,2015-11-04,Egypt,1.1.2.28.415.1126.4017,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2015-11-04,6
SRR5220495,2015-11-04,,1.1.2.28.2014.2423.4007,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-04,6
SRR5220060,2015-11-06,,1.1.2.63.63.63.4001,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-06,6
SRR3284684,2015-11-06,Indonesia,1.1.2.244.2013.2422.4006,-0.789275,113.921327,0.0,Indonesia,Asia,South-eastern Asia,2015-11-06,6
SRR7349330,2015-11-06,,1.1.2.28.109.109.4025,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-06,6
SRR7533364,2015-11-09,,1.1.2.63.63.63.3992,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-09,6
SRR6898844,2017-09-27,,1.1.2.80.349.1012.8344,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-27,6
SRR5194142,2015-10-28,,1.1.2.28.149.149.3038,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-28,6
SRR7892165,2017-10-03,Cuba,1.1.2.15.361.1950.8350,21.521757,-77.781167,0.0,Cuba,Americas,Latin America and the Caribbean,2017-10-03,6
SRR6919766,2017-10-03,,1.1.2.1712.58.4174.8586,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-03,6
SRR6898442,2017-10-03,,1.1.2.28.1885.2251.8443,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-03,6
SRR6900681,2017-10-03,Gambia,1.1.2.12.12.12.8561,13.443182,-15.310139,0.0,Gambia,Africa,Sub-Saharan Africa,2017-10-03,6
SRR6901021,2017-10-03,Egypt,1.1.2.2073.1887.4181.8600,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2017-10-03,6
SRR6919837,2017-10-03,Turkey,1.1.2.1712.58.370.8549,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2017-10-03,6
SRR8706125,2015-10-28,Egypt,1.1.2.28.538.562.3934,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2015-10-28,6
SRR7249805,2015-10-28,,1.1.2.28.109.2395.3925,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-28,6
SRR6922065,2017-10-03,,1.1.2.28.195.195.8563,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-03,6
SRR7402106,2015-10-28,,1.1.2.67.67.676.3916,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-28,6
SRR5220911,2015-10-28,,1.1.2.67.67.676.3916,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-28,6
SRR5220645,2015-10-28,,1.1.2.63.1758.2065.3919,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-28,6
SRR5216063,2015-10-28,,1.1.2.28.149.149.3935,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-28,6
SRR5215764,2015-10-29,,1.1.2.63.1758.2065.3950,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-29,6
SRR6898290,2017-10-04,,1.1.2.28.149.149.8591,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-04,6
SRR6899437,2017-10-04,Dominican republic,1.1.2.61.61.561.7188,18.735693,-70.162651,0.0,Dominican republic,Americas,Latin America and the Caribbean,2017-10-04,6
SRR6919178,2017-10-04,Dominican republic,1.1.2.61.61.561.7188,18.735693,-70.162651,0.0,Dominican republic,Americas,Latin America and the Caribbean,2017-10-04,6
SRR6897028,2017-10-03,Indonesia,1.1.2.28.195.195.279,-0.789275,113.921327,0.0,Indonesia,Asia,South-eastern Asia,2017-10-03,6
SRR7351391,2015-10-30,United Arab Emirates,1.1.2.1180.2004.2407.3967,23.424076,53.847818,0.0,United Arab Emirates,Asia,Western Asia,2015-10-30,6
SRR5215814,2015-11-03,,1.1.2.12.12.590.3988,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-03,6
SRR5194049,2015-11-03,Turkey,1.1.2.28.149.149.4018,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2015-11-03,6
SRR8706093,2015-11-03,Spain,1.1.2.80.1373.1574.2152,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2015-11-03,6
SRR6918631,2017-10-03,Greece,1.1.2.80.1903.2273.8568,39.074208,21.824312,0.0,Greece,Europe,Southern Europe,2017-10-03,6
SRR6920120,2017-10-03,Turkey,1.1.2.1326.447.461.8557,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2017-10-03,6
SRR6898444,2017-10-03,Spain,1.1.2.80.1903.2273.7912,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2017-10-03,6
SRR6900671,2017-10-03,,1.1.2.2357.3207.4161.8542,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-03,6
SRR5193631,2015-11-09,,1.1.2.1186.2012.2421.4004,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-09,6
SRR6922496,2017-10-05,Cuba,1.1.2.15.3218.4179.8595,21.521757,-77.781167,0.0,Cuba,Americas,Latin America and the Caribbean,2017-10-05,6
SRR6920022,2017-10-05,Spain,1.1.2.2066.411.3654.8540,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2017-10-05,6
SRR7456846,2015-10-29,,1.1.2.28.934.1045.3940,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-29,6
SRR7495739,2015-10-29,Mexico,1.1.2.1182.2007.2412.3976,23.634501,-102.552784,0.0,Mexico,Americas,Latin America and the Caribbean,2015-10-29,6
SRR7890464,2015-10-29,,1.1.2.15.15.15.3974,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-29,6
SRR7349008,2015-10-29,,1.1.2.12.12.590.3962,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-29,6
SRR7122587,2015-10-29,Portugal,1.1.2.28.195.2087.3210,39.399872,-8.224454,0.0,Portugal,Europe,Southern Europe,2015-10-29,6
SRR6924096,2017-10-03,,1.1.2.12.12.12.8561,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-03,6
SRR5193589,2015-11-24,,1.1.2.1712.475.492.4084,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-24,6
SRR5220465,2015-11-24,Egypt,1.1.2.28.43.380.4102,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2015-11-24,6
SRR5216630,2015-11-24,,1.1.2.1199.2038.2465.4098,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-24,6
SRR6919091,2017-09-21,,1.1.2.12.12.12.8477,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-21,6
SRR6922098,2017-09-21,,1.1.2.2351.3193.4131.8458,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-21,6
SRR6920116,2017-09-21,,1.1.2.28.149.149.8468,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-21,6
SRR6924085,2017-09-21,,1.1.2.28.149.149.8476,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-21,6
SRR6898456,2017-09-21,Cuba,1.1.2.15.361.1950.8466,21.521757,-77.781167,0.0,Cuba,Americas,Latin America and the Caribbean,2017-09-21,6
SRR7237432,2015-11-24,Cambodia,1.1.2.7.1178.1338.4161,12.565679,104.990963,0.0,Cambodia,Asia,South-eastern Asia,2015-11-24,6
SRR5193377,2015-11-23,Turkey,1.1.2.1712.475.492.4084,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2015-11-23,6
SRR5220934,2015-11-24,,1.1.2.1197.2036.2463.4094,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-24,6
SRR7426496,2015-11-18,India,1.1.2.994.1576.1817.4054,20.593684,78.96288,0.0,India,Asia,Southern Asia,2015-11-18,6
SRR7468879,2015-11-20,Sri lanka,1.1.2.67.67.676.3916,7.873054,80.771797,0.0,Sri lanka,Asia,Southern Asia,2015-11-20,6
SRR6924170,2017-09-25,,1.1.2.28.149.149.8480,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-25,6
SRR6901124,2017-09-25,,1.1.2.28.149.149.8372,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-25,6
SRR6919090,2017-09-25,Dominica,1.1.2.61.3197.4141.8483,15.414999,-61.370976,0.0,Dominica,Americas,Latin America and the Caribbean,2017-09-25,6
SRR6919725,2017-09-26,,1.1.2.2309.3074.3907.8502,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-26,6
SRR6919287,2017-09-21,Spain,1.1.2.131.456.470.8459,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2017-09-21,6
SRR6901079,2017-09-20,Turkey,1.1.2.1712.58.2133.4810,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2017-09-20,6
SRR7172561,2015-11-25,Cyprus,1.1.2.1326.1918.2290.4088,35.126413,33.429859,0.0,Cyprus,Asia,Western Asia,2015-11-25,6
SRR5220311,2015-11-25,,1.1.2.63.1758.2065.4142,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-25,6
SRR5220100,2015-11-25,,1.1.2.2073.389.2224.4162,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-25,6
SRR5193138,2015-11-25,,1.1.2.28.195.2477.4139,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-25,6
SRR8704724,2015-11-25,,1.1.2.28.43.2471.4124,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-25,6
SRR6898809,2017-09-20,,1.1.2.61.61.4062.8263,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-20,6
SRR6921945,2017-09-20,,1.1.2.12.12.12.7692,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-20,6
SRR6921939,2017-09-20,,1.1.2.147.1047.4130.8451,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-20,6
SRR6900894,2017-09-21,,1.1.2.849.1723.4135.8471,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-21,6
SRR6918892,2017-09-20,Indonesia,1.1.2.28.195.3041.8446,-0.789275,113.921327,0.0,Indonesia,Asia,South-eastern Asia,2017-09-20,6
SRR3284774,2015-11-25,,1.1.2.265.265.265.4148,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-25,6
SRR7090707,2015-11-25,Turkey,1.1.2.1712.475.492.4084,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2015-11-25,6
SRR6919266,2017-09-25,,1.1.2.12.12.12.8486,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-25,6
SRR7471052,2015-11-20,,1.1.2.12.12.12.4076,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-20,6
SRR5216435,2015-11-23,Poland,1.1.2.28.2034.2460.4086,51.919438,19.145136,0.0,Poland,Europe,Eastern Europe,2015-11-23,6
SRR5215727,2015-11-23,Middle East (region),1.1.2.359.983.2457.4080,#N/A,#N/A,1.0,NA,Asia,,2015-11-23,6
SRR5220835,2015-11-23,Turkey,1.1.2.1712.475.492.4084,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2015-11-23,6
SRR6897877,2017-09-26,Egypt,1.1.2.2073.389.2854.8495,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2017-09-26,6
SRR5216253,2015-11-17,Tanzania,1.1.2.28.2025.2444.4050,-6.369028,34.888822,0.0,Tanzania,Africa,Sub-Saharan Africa,2015-11-17,6
SRR3585367,2015-11-11,Bosnia and Herzegovina,1.1.2.1189.2017.2431.4023,43.915886,17.679076,0.0,Bosnia and Herzegovina,Europe,Southern Europe,2015-11-11,6
SRR6922568,2017-09-27,,1.1.2.2241.3159.4152.8513,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-27,6
SRR6900952,2017-09-27,Egypt,1.1.2.32.1671.4157.8531,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2017-09-27,6
SRR6898871,2017-09-27,,1.1.2.2258.2973.3766.8523,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-27,6
SRR6897999,2017-09-27,,1.1.2.1326.2675.3393.8474,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-27,6
SRR6901172,2017-09-27,,1.1.2.1326.838.930.8521,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-27,6
SRR6919149,2017-09-27,,1.1.2.28.195.358.6957,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-27,6
SRR5216570,2015-11-17,,1.1.2.12.887.989.4055,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-17,6
SRR6900983,2017-09-26,,1.1.2.314.476.3137.5912,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-26,6
SRR6921942,2017-09-26,,1.1.2.2073.1887.2429.8497,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-26,6
SRR6897836,2017-09-26,,1.1.2.2354.3200.4144.8494,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-26,6
SRR6919728,2017-09-26,,1.1.2.1326.447.461.8508,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-26,6
SRR6900123,2017-09-26,,1.1.2.12.12.3924.8510,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-26,6
SRR6922560,2017-09-26,Indonesia,1.1.2.28.195.195.8493,-0.789275,113.921327,0.0,Indonesia,Asia,South-eastern Asia,2017-09-26,6
SRR5216302,2015-11-09,,1.1.2.1326.373.2419.3997,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-09,6
SRR7456858,2015-11-09,,1.1.2.41.41.41.3469,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-09,6
SRR3285345,2015-11-13,Egypt,1.1.2.2073.1887.2429.4019,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2015-11-13,6
SRR6898859,2017-09-21,Saudi arabia,1.1.2.359.983.1104.8457,23.885942,45.079162,0.0,Saudi arabia,Asia,Western Asia,2017-09-21,6
SRR6919772,2017-09-22,,1.1.2.1326.2675.3393.8474,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-22,6
SRR6922637,2017-09-22,,1.1.2.152.3195.4137.8473,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-22,6
SRR6919512,2017-09-22,Cuba,1.1.2.15.3111.4133.8467,21.521757,-77.781167,0.0,Cuba,Americas,Latin America and the Caribbean,2017-09-22,6
SRR6900834,2017-09-27,,1.1.2.12.12.590.8514,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-09-27,6
SRR8704618,2015-11-12,Middle East (region),1.1.2.359.584.619.4070,#N/A,#N/A,1.0,NA,Asia,,2015-11-12,6
SRR5220966,2015-11-12,Poland,1.1.2.152.152.2430.4020,51.919438,19.145136,0.0,Poland,Europe,Eastern Europe,2015-11-12,6
SRR5220498,2015-11-12,,1.1.2.12.12.665.4030,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-12,6
SRR6918858,2017-10-04,Turkey,1.1.2.28.149.149.8594,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2017-10-04,6
SRR7292865,2015-11-13,,1.1.2.244.2013.2422.4006,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-13,6
SRR5193491,2015-11-13,,1.1.2.80.1373.1574.4036,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-13,6
SRR5220507,2015-11-13,,1.1.2.1326.2022.2439.4040,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-13,6
SRR5216372,2015-11-16,Turkey,1.1.2.1712.475.492.4062,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2015-11-16,6
SRR5194035,2015-11-16,,1.1.2.317.2029.2450.4065,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-11-16,6
SRR7538766,2015-11-17,Egypt,1.1.2.28.520.541.623,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2015-11-17,6
SRR7358931,2015-11-17,Morocco,1.1.2.27.27.2456.4075,31.791702,-7.09262,0.0,Morocco,Africa,Northern Africa,2015-11-17,6
SRR5220530,2015-11-17,Egypt,1.1.2.28.520.541.623,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2015-11-17,6
SRR5220477,2015-10-14,,1.1.2.15.729.2010.3853,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-14,6
SRR5220243,2015-10-15,,1.1.2.2073.389.2224.3835,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-15,6
SRR5216473,2015-10-15,,1.1.2.635.882.984.3784,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-15,6
SRR3323006,2015-10-15,Spain,1.1.2.208.208.560.3831,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2015-10-15,6
SRR6918868,2017-10-17,,1.1.2.28.125.2186.8675,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-17,6
SRR6922127,2017-10-17,Spain,1.1.2.230.230.2078.8677,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2017-10-17,6
SRR6898089,2017-10-17,,1.1.2.274.274.4195.8669,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-17,6
SRR6922788,2017-10-18,,1.1.2.28.149.149.8687,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-18,6
SRR6898308,2017-10-18,,1.1.2.2309.3074.3907.8686,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2017-10-18,6
SRR7443897,2015-10-14,Dominican republic,1.1.2.61.61.561.3884,18.735693,-70.162651,0.0,Dominican republic,Americas,Latin America and the Caribbean,2015-10-14,6
SRR5215860,2015-10-15,,1.1.2.275.275.275.3765,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2015-10-15,6
